FA, FB, FC, TA, TB, TC, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2453.32717900001, -1156.33010799997, -1444.81659000018, -1735.09120899998, -2625.58460199996, -2366.9004439998, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
-2454.51927199983, -1153.34987700009, -1401.90124500007, -1736.87934800005, -2629.7569279999, -2375.2450939999, 
