FA, FB, FC, TA, TB, TC, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2377.03323299997, -1185.53638499998, -1752.972603, -1726.15051300009, -2619.02809099993, -2374.6490470001, 
-2378.82137300004, -1192.09289500001, -1755.95283500012, -1723.17027999996, -2619.02809099993, -2374.6490470001, 
