FA, FB, FC, TA, TB, TC, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
-3991.72305999999, -2692.93785099988, -2989.17293499992, -3274.67918400001, -4163.38443799992, -3915.42911499995, 
